Date,Close,대비,등락률,Open,High,Low,Volume,거래대금,시가총액,상장주식수,RSI,RSI_9,OBV,MA5,MA20,MA60,OBV_20
2023-05-02,2230,38,1.75,2192,2230,2149,26421,68019165,24340903775,9308185,,,0,,,,
2023-05-03,2260,30,1.34,2230,2286,2230,32147,85109550,24666690250,9308185,,,32147,,,,
2023-05-04,2269,9,0.38,2260,2273,2235,21550,57042165,24759772100,9308185,,,53697,,,,
2023-05-08,2247,-22,-0.94,2269,2303,2247,19019,50711500,24527067475,9308185,,,34678,,,,
2023-05-09,2217,-30,-1.33,2252,2252,2183,28770,75119415,24201281000,9308185,,,5908,2244.6,,,
2023-05-10,2239,22,0.96,2222,2243,2209,21462,55947085,24433985625,9308185,,,27370,2246.4,,,
2023-05-11,2264,25,1.14,2243,2281,2243,17222,45693450,24713231175,9308185,,,44592,2247.2,,,
2023-05-12,2405,141,6.21,2281,2495,2281,174811,489749380,26249081700,9308185,,,219403,2274.4,,,
2023-05-15,2439,34,1.42,2384,2546,2384,84203,243101360,26621409100,9308185,,83.38658146964856,303606,2312.8,,,
2023-05-16,2196,-243,-9.97,2345,2367,2179,112700,296604895,23968576375,9308185,,46.94244604316547,190906,2308.6,,,
2023-05-17,2213,17,0.78,2196,2217,2132,50546,128195705,24154740075,9308185,,45.67219152854512,241452,2303.4,,,
2023-05-18,2243,30,1.35,2260,2260,2217,24488,64224690,24480526550,9308185,,47.69503546099291,265940,2299.2,,,
2023-05-19,2243,0,0.0,2264,2264,2230,24542,64755720,24480526550,9308185,,49.6309963099631,265940,2266.8,,,
2023-05-22,2260,17,0.76,2243,2264,2239,9578,25306085,24666690250,9308185,52.41935483870967,54.06427221172023,275518,2231.0,,,
2023-05-23,2303,43,1.89,2273,2307,2260,12291,33000500,25132099500,9308185,55.505279034690794,55.81818181818182,287809,2252.4,,,
2023-05-24,2316,13,0.56,2290,2333,2286,24500,66271040,25271722275,9308185,54.33436532507739,54.832713754646846,312309,2273.0,,,
2023-05-25,2307,-9,-0.37,2345,2345,2303,11594,31520610,25178640425,9308185,52.94117647058823,37.93103448275862,300715,2285.8,,,
2023-05-26,2294,-13,-0.55,2307,2345,2273,28386,76650325,25039017650,9308185,53.68916797488226,31.168831168831176,272329,2296.0,,,
